Iso_code,Year,midyear_population,midyear_population_male,midyear_population_female
180,1996,47684709,23574980,24109729
203,2020,10702498,5269287,5433211
704,1993,71285149,35018720,36266429
540,1997,199383,100759,98624
262,2015,828324,379961,448363
246,2022,5600294,2759378,2840916
716,2008,11350111,5380153,5969958
512,2035,4600904,2445874,2155030
882,2024,209003,105977,103026
356,2012,1205073612,625350835,579722777
540,1990,168903,85771,83132
440,1992,3617607,1706071,1911536
212,2008,72514,36545,35969
90,2004,483173,246590,236583
348,2044,8791142,4215138,4576004
887,2035,38436783,19338399,19098384
833,2000,75703,36847,38856
16,2032,52035,25481,26554
480,2044,1453709,707120,746589
417,2012,5496737,2696142,2800595
566,2038,308116240,156667778,151448462
152,2050,19688474,9620837,10067637
608,2042,144386066,72215898,72170168
104,1982,34642188,17225401,17416787
376,1992,4804016,2397722,2406294
578,2008,4770096,2377970,2392126
392,2004,127693749,62229402,65464347
666,2022,5220,2520,2700
716,2031,19107079,9696493,9410586
591,2031,4360739,2183925,2176814
626,1996,895464,459758,435706
800,2013,34758809,17264460,17494349
616,2020,38282325,18523125,19759200
792,2046,89613205,44434894,45178311
500,1996,7947,3987,3960
516,2047,4012645,1981069,2031576
504,2009,31285174,15409926,15875248
92,2011,30391,14661,15730
417,2025,6218713,3043388,3175325
36,2042,27985787,14005824,13979963
368,2021,43253280,21853164,21400116
152,2027,18957912,9309834,9648078
854,2049,46415575,23075745,23339830
32,2036,50865127,25208364,25656763
450,2020,26955737,13475870,13479867
500,2036,5792,2896,2896
499,2044,598090,294658,303432
434,1984,3613956,1940357,1673599
44,1999,279305,136119,143186
178,1986,1981276,965738,1015538
702,2046,8407154,4055623,4351531
368,2024,46538938,23514776,23024162
678,2040,276579,137968,138611
480,2038,1455578,709402,746176
800,2048,89840453,44668558,45171895
442,2027,699337,352889,346448
56,2005,10469152,5127076,5342076
178,1980,1675110,811893,863217
24,1975,6050398,3011234,3039164
360,2041,297458585,148815357,148643228
31,1992,7718036,3744018,3974018
320,1984,7380338,3710586,3669752
616,2030,36984334,17844274,19140060
462,1999,291480,156204,135276
450,1999,15263710,7599474,7664236
798,2027,11992,5964,6028
616,2011,38631804,18719032,19912772
332,2043,13895565,6795524,7100041
262,1963,128813,64476,64337
528,2013,16805037,8314141,8490896
496,2022,3225568,1571170,1654398
462,1988,200075,103412,96663
174,2050,1169893,560435,609458
192,2006,11266419,5633025,5633394
663,2022,32776,15713,17063
705,2044,1682001,810648,871353
0,2025,1999461,1029483,969978
894,1997,9169242,4584865,4584377
496,2043,3609737,1725925,1883812
831,1999,61701,29960,31741
504,2034,38907198,18984488,19922710
580,2033,67663,32687,34976
654,2028,7884,3918,3966
690,1977,61791,31120,30671
410,1996,45467969,22843955,22624014
705,1996,2007429,975228,1032201
104,2005,50572091,25146773,25425318
480,2034,1449346,707489,741857
332,2011,9669723,4769182,4900541
800,1969,9449977,4779331,4670646
76,1986,138567223,68971523,69595700
454,2021,21905190,10844093,11061097
534,2019,43265,21362,21903
562,2026,25351560,12709349,12642211
470,2028,420823,209650,211173
266,2015,1705336,849293,856043
882,2042,234238,117336,116902
450,2022,28240946,14118481,14122465
662,2026,168831,81789,87042
72,2046,2797718,1506602,1291116
348,2006,10046269,4786647,5259622
784,1995,2457980,1645811,812169
12,2027,46821890,23712517,23109373
64,1953,176902,90363,86539
466,1993,9111996,4471484,4640512
328,2020,750204,378146,372058
116,1983,7530652,3512508,4018144
266,2047,3068916,1551503,1517413
136,2038,80980,39103,41877
48,1982,377803,219414,158389
540,2039,348047,172237,175810
752,2018,10040995,5018458,5022537
531,2038,154115,74808,79307
706,2024,12938928,6507972,6430956
690,2038,102444,53923,48521
533,1997,86206,41083,45123
608,2020,109180815,54791367,54389448
148,1964,3271357,1615756,1655601
214,2025,11702846,5910115,5792731
120,1985,10226702,5114324,5112378
531,2048,150948,73941,77007
214,2019,10985823,5556395,5429428
666,1995,6404,3204,3200
583,2023,100420,49172,51248
64,2025,820143,425034,395109
624,1992,1051003,507626,543377
246,2029,5645963,2780270,2865693
578,1991,4261733,2107177,2154556
796,2007,33911,17154,16757
214,2007,9426233,4780046,4646187
882,2021,205029,104203,100826
428,1994,2516781,1160700,1356081
64,1999,595628,315474,280154
258,1990,199525,103495,96030
784,1990,1826250,1213821,612429
854,2037,35010102,17434926,17575176
222,2043,6289652,2999721,3289931
100,2019,7012640,3418862,3593778
262,2019,902892,411209,491683
624,2041,2601006,1281065,1319941
662,2010,160922,78583,82339
112,2038,8843736,4114889,4728847
156,2048,1316095211,660827966,655267245
36,2015,22751014,11407202,11343812
234,2001,46590,24133,22457
262,1962,122681,61413,61268
646,2027,16820810,8393793,8427017
246,2002,5192708,2537061,2655647
116,1973,7535755,3736351,3799404
250,2035,70050140,34265492,35784648
174,1982,355976,176402,179574
112,2034,8993837,4182445,4811392
417,1995,4620023,2274038,2345985
659,2015,51936,25971,25965
670,2021,101179,51487,49692
250,1991,58604822,28548634,30056188
56,2013,11148086,5477439,5670647
203,2015,10644842,5231158,5413684
705,2016,1978029,963059,1014970
188,2041,5915377,2938539,2976838
760,2004,18186448,9242292,8944156
652,2047,6607,3433,3174
418,2014,6803699,3376177,3427522
894,2028,21879699,10927788,10951911
112,2037,8881429,4131579,4749850
360,2022,271057714,135679993,135377721
430,2044,7509270,3730866,3778404
360,2038,295067727,147669708,147398019
484,2021,129951482,63658621,66292861
440,2043,2007752,941030,1066722
498,1993,4380766,2091663,2289103
234,2024,52891,27356,25535
8,2035,3062363,1501171,1561192
328,2039,854864,427891,426973
90,1985,272932,139889,133043
508,2006,20511666,9925098,10586568
214,2005,9164472,4648799,4515673
800,1980,12019708,5933201,6086507
840,2036,372389679,184071974,188317705
64,2039,906964,465359,441605
710,2011,51453823,25503187,25950636
748,1980,611463,296623,314840
174,2009,690013,335107,354906
566,2010,160341173,81804988,78536185
728,2031,19100649,9659470,9441179
598,2021,7374026,3750819,3623207
768,2009,6405008,3176216,3228792
646,2019,13989620,6978923,7010697
192,1986,10182674,5134225,5048449
178,2035,7474786,3739895,3734891
818,2005,72688283,37127595,35560688
768,2048,15974379,7920027,8054352
64,1954,181528,92706,88822
348,2012,9958453,4743872,5214581
800,1985,13810985,6775681,7035304
804,2038,39867276,18587987,21279289
132,2004,462795,223375,239420
662,2021,166946,81095,85851
732,1979,109402,53999,55403
84,2045,520684,263372,257312
792,2032,87380643,43687391,43693252
360,2035,291923783,146133199,145790584
764,2002,63884702,31588644,32296058
104,2042,68565662,33866828,34698834
780,1984,1168881,584734,584147
643,2016,142355415,65864513,76490902
64,1952,172401,88084,84317
320,1988,8495815,4270274,4225541
764,2011,66987118,32981385,34005733
818,2025,115502146,59003788,56498358
446,2021,618171,292811,325360
686,2043,24561367,11923107,12638260
818,2039,145307475,74144102,71163373
498,2045,2431772,1209540,1222232
170,2046,56038332,27635733,28402599
548,2018,288037,143688,144349
408,2027,26441457,12867778,13573679
158,2035,23148087,11179692,11968395
643,2022,141164367,65283665,75880702
690,1988,69195,34258,34937
508,2019,27910300,13673065,14237235
132,1996,394798,189558,205240
702,2000,4063333,2011341,2051992
748,2043,1781805,920310,861495
4,2017,34124811,17294717,16830094
136,2046,87929,42366,45563
834,2044,105089318,52604240,52485078
756,2047,9455242,4637782,4817460
876,2021,15895,8092,7803
364,2007,74093270,37641145,36452125
533,1983,62019,30134,31885
598,1992,3886602,2059820,1826782
728,2043,24089337,12160565,11928772
466,2016,17467108,8505621,8961487
762,1994,5604488,2784930,2819558
340,1985,4077312,2031998,2045314
634,2024,2547049,1957453,589596
499,2023,637473,317178,320295
148,2014,11412107,5502019,5910088
706,2045,20683903,10269677,10414226
192,1987,10278541,5179959,5098582
100,2002,7784233,3819301,3964932
174,1981,347694,172547,175147
148,1973,3969803,1931021,2038782
626,2035,1828729,902851,925878
484,1984,74943413,37102227,37841186
760,2050,31225740,15614588,15611152
152,2037,19580625,9594463,9986162
152,2014,17363894,8536843,8827051
170,2021,49528737,24475449,25053288
292,2012,29034,14615,14419
414,2004,2197285,1300141,897144
90,2029,795650,405993,389657
324,1955,2786879,1326419,1460460
796,2021,57022,28696,28326
833,2016,88195,44131,44064
276,2013,81147265,39877075,41270190
442,2009,500087,248536,251551
776,2037,96844,48461,48383
458,2008,27357758,13902752,13455006
148,2019,12528344,6060827,6467517
450,2043,41613319,20753178,20860141
516,2046,3963690,1956715,2006975
266,2028,2183100,1094212,1088888
418,2040,9348860,4624923,4723937
50,2013,151466689,74987788,76478901
540,2042,354978,175502,179476
276,1991,79984244,38657711,41326533
862,2021,32808893,16350228,16458665
652,2043,6716,3493,3223
51,2032,2849579,1406759,1442820
340,2034,11271255,5689340,5581915
756,1992,7000610,3451041,3549569
710,1988,36806859,17923972,18882887
480,1986,1028233,511691,516542
116,1994,10974244,5293956,5680288
516,2033,3296330,1623469,1672861
148,2021,12984142,6288645,6695497
462,1998,281184,149052,132132
404,2011,41943504,20919917,21023587
531,2002,131711,62376,69335
652,1999,6938,3714,3224
96,1991,259254,136784,122470
233,2043,997893,481597,516296
508,2002,18801884,9055682,9746202
643,2013,142500482,65953460,76547022
203,2009,10518271,5159612,5358659
232,2047,8648684,4257333,4391351
496,1994,2272058,1132973,1139085
764,2019,68804427,33725448,35078979
876,2035,16040,8177,7863
894,2007,12000691,5996944,6003747
174,2040,1078131,518248,559883
818,2040,147476084,75242605,72233479
40,2007,8379589,4082017,4297572
776,2039,94791,47396,47395
234,2033,55195,28340,26855
646,2010,11055976,5504785,5551191
740,2047,714447,356450,357997
324,1992,6800519,3371986,3428533
724,2032,52764189,26029239,26734950
520,1998,9885,5050,4835
578,2028,5798719,2927936,2870783
688,2015,7176794,3498867,3677927
520,2048,11793,5255,6538
462,2028,394776,196350,198426
554,1986,3340633,1654893,1685740
776,2013,106322,53339,52983
12,2047,54565705,27470321,27095384
268,2021,4932580,2360571,2572009
834,2038,92160836,46131646,46029190
372,2023,5325991,2658320,2667671
440,2036,2221431,1035116,1186315
96,2016,436620,215718,220902
826,2025,67243723,33509139,33734584
748,1986,749420,365222,384198
36,1987,16136716,8057490,8079226
246,2036,5614695,2761694,2853001
348,2042,8887877,4258715,4629162
454,2018,19842560,9820698,10021862
352,2018,343518,172113,171405
630,2017,3560019,1699034,1860985
710,2017,54841552,27138656,27702896
72,2007,1913422,954652,958770
705,2050,1596947,768923,828024
804,2018,43952299,20359723,23592576
144,1987,16287539,8172455,8115084
388,2044,3469351,1727113,1742238
231,2021,117856725,58519092,59337633
862,2041,38429673,19164446,19265227
756,2035,9084758,4473725,4611033
764,2003,64334844,31799020,32535824
876,2039,15948,8122,7826
100,2029,6530733,3178993,3351740
178,2030,6673866,3342262,3331604
50,2004,136788684,68716745,68071939
686,2023,16834516,8149407,8685109
585,2024,22020,11260,10760
442,2039,792208,398921,393287
188,2032,5647134,2816400,2830734
136,2011,51384,25091,26293
76,1992,154460821,76758146,77702675
804,2003,47692440,22048586,25643854
418,2002,5578027,2764687,2813340
384,2024,27227855,13735410,13492445
524,1978,13993609,7115248,6878361
450,2010,20846615,10414790,10431825
72,1984,1043396,493919,549477
703,2046,4968350,2404118,2564232
756,2018,8292809,4092060,4200749
446,2005,474027,225466,248561
800,2020,43517666,21627819,21889847
410,2021,52016438,26069390,25947048
466,2028,24368775,11843654,12525121
376,2042,11466591,5759459,5707132
887,2016,27392779,13861485,13531294
76,2041,231468908,112986104,118482804
674,2037,36355,17484,18871
795,2039,6333904,3117621,3216283
780,2034,1124324,567174,557150
0,2018,1907592,982911,924681
642,2002,22365752,10920452,11445300
533,1989,60687,29109,31578
174,1999,531430,259357,272073
652,1984,3681,1878,1803
498,2002,4088890,1965036,2123854
496,1993,2242277,1118573,1123704
616,2039,35237804,16966948,18270856
764,2038,69047283,33486587,35560696
344,2032,7247577,3304837,3942740
642,2042,19077803,9238800,9839003
340,2044,12368051,6244849,6123202
654,2022,7876,3948,3928
70,2006,3894410,1897642,1996768
296,2013,103248,50547,52701
262,1994,546892,263866,283026
776,2004,102703,51506,51197
24,1988,9032913,4534324,4498589
710,2037,64383713,31920891,32462822
222,2006,5970893,2889468,3081425
48,2025,1579899,945161,634738
428,2003,2308159,1062664,1245495
196,2009,1084748,553217,531531
36,2043,28123182,14074341,14048841
368,2032,55726983,28149265,27577718
654,2031,7862,3889,3973
76,2021,213093938,104877980,108215958
598,2046,9810955,4934998,4875957
52,1985,257247,122776,134471
598,2023,7600936,3861119,3739817
598,1987,3401467,1825966,1575501
478,2023,4256298,2049788,2206510
840,2031,361684740,178672200,183012540
300,1999,10536749,5191375,5345374
840,1986,240132887,116865159,123267728
124,2004,32134763,15935646,16199117
642,2041,19196139,9298235,9897904
246,1998,5146983,2509035,2637948
84,2007,294610,149241,145369
108,1994,5539656,2724118,2815538
180,1986,34385929,16897959,17487970
662,1980,122477,59452,63025
796,2039,75068,37382,37686
144,1982,15514549,7898736,7615813
12,2009,35268128,17842465,17425663
178,1990,2220993,1086547,1134446
654,2013,7754,3919,3835
480,2025,1412384,692090,720294
798,1999,10014,4898,5116
686,2026,17957583,8696856,9260727
562,2012,16344687,8201193,8143494
706,1975,4127771,2068014,2059757
732,2014,554795,275234,279561
659,2017,52715,26374,26341
332,2000,8279356,4078804,4200552
694,2015,5879098,2855348,3023750
690,2018,94633,48766,45867
678,2002,147133,73192,73941
84,2022,392321,198651,193670
462,2040,426986,212071,214915
0,1988,1790565,912832,877733
214,1996,7898976,4010103,3888873
688,2042,6205174,3017153,3188021
212,2025,74374,37563,36811
470,2023,420792,209718,211074
340,2009,7833696,3938493,3895203
48,1992,538020,308668,229352
706,1999,7241658,3629686,3611972
304,2029,56488,28925,27563
156,2028,1406939502,718281953,688657549
480,2029,1432699,700862,731837
833,2045,93849,47038,46811
792,1997,63165562,31914397,31251165
64,2022,797824,414353,383471
807,2020,2112774,1051601,1061173
90,1983,255347,131182,124165
188,1984,2567601,1297215,1270386
144,2021,23035344,11240533,11794811
716,2020,15831990,7965943,7866047
188,2007,4331130,2178073,2153057
524,2050,33265760,16506170,16759590
752,2000,8924354,4413248,4511106
534,2042,52027,25567,26460
212,2012,73126,36892,36234
174,2022,870408,420572,449836
218,2035,19513299,9639214,9874085
704,2023,101050273,50737985,50312288
417,2017,5789122,2837331,2951791
454,2032,31159493,15432886,15726607
414,1985,1732824,991767,741057
499,2010,666730,332110,334620
492,2011,30539,14887,15652
376,2020,8675475,4361465,4314010
768,1984,3021789,1505731,1516058
702,1990,3047100,1533234,1513866
724,2027,51868014,25608549,26259465
320,2012,14099032,6954829,7144203
262,2007,694379,324457,369922
583,2009,107434,53613,53821
478,2021,4088630,1968989,2119641
320,2025,17564073,8650673,8913400
580,2006,60665,29072,31593
376,2044,11703120,5876254,5826866
324,1988,5666825,2796229,2870596
740,2017,591919,298015,293904
580,2037,70432,34030,36402
434,2011,5767159,2995154,2772005
36,2013,22262501,11160085,11102416
398,2025,19809426,9384226,10425200
630,2038,3269123,1556943,1712180
344,2042,6959334,3122634,3836700
678,2016,197541,98594,98947
208,2017,5605948,2759213,2846735
64,1981,461945,243427,218518
266,1985,833036,408521,424515
16,2006,56652,28626,28026
203,2042,10393712,5146045,5247667
250,1996,60094948,29290467,30804481
634,2011,1849257,1411140,438117
634,2029,2594449,1976853,617596
732,1980,124043,61291,62752
48,2013,1281332,776753,504579
478,1990,1924978,931449,993529
600,1982,3338368,1666221,1672147
492,2006,30951,15129,15822
454,2011,15709663,7771769,7937894
756,2007,7529531,3692721,3836810
663,2015,31754,15275,16479
807,1999,2004985,1003469,1001516
324,1973,3862799,1857590,2005209
534,2023,45521,22469,23052
850,2002,108208,51489,56719
858,1998,3195923,1548875,1647048
716,2024,17071850,8614892,8456958
90,1997,398091,202977,195114
68,1996,7534395,3730369,3804026
356,1993,886743707,458065244,428678463
64,1996,565330,300443,264887
566,1968,52449374,27000742,25448632
554,2008,4173460,2076112,2097348
840,1987,242288918,117960809,124328109
566,2046,362505155,184046392,178458763
20,2035,82994,41801,41193
662,2035,169754,81794,87960
634,2008,1417957,1054202,363755
50,2020,162650853,79959419,82691434
90,1999,421716,215075,206641
360,1997,204258115,101800974,102457141
242,2046,1009011,506011,503000
300,2013,10772967,5266863,5506104
250,2034,69986674,34241271,35745403
533,2025,126130,59571,66559
512,1994,2076785,1208698,868087
344,2009,7038760,3332885,3705875
729,2008,31732535,16095546,15636989
626,1990,739630,382671,356959
266,1991,960425,474708,485717
40,2001,8141540,3960371,4181169
480,2027,1423301,696861,726440
776,2006,103871,52097,51774
434,2005,5570030,2886856,2683174
430,2039,6924855,3442280,3482575
140,1992,3266519,1594871,1671648
12,1989,24561722,12378530,12183192
438,2018,38547,19169,19378
585,2021,21769,11209,10560
484,2012,117299155,57569792,59729363
598,2041,9403749,4737957,4665792
